"iso","umd_tree_cover_extent_2000__ha","umd_tree_cover_gain_2000-2012__ha"
"ABW",16.384516783178157,1.0521998951709775
"AFG",148429.7692422812,303.87041760875456
"AGO",31917529.595136493,63770.618051861864
"AIA",1371.8974018091913,29.12216994556374
"ALA",87761.44832081589,2445.2302869724817
"ALB",534847.6744326768,7355.144913998423
"AND",16889.376020067604,17.90057352414644
"ARE",,
"ARG",23116356.086642087,643049.0595993141
"ARM",294622.49075711204,1278.2322206146964
"ATF",59.64652824700075,
"ATG",17271.397337360348,248.59275157111216
"AUS",25719710.4520817,1414603.0184925352
"AUT",4114724.579501649,65849.51705502838
"AZE",1113390.390045965,865.6783574432167
"BDI",140709.1787701347,3562.699682587455
"BEL",778289.5494822153,37463.22582320642
"BEN",9000.24775996473,6899.561153886729
"BES",1758.7826489004015,66.08518899876462
"BFA",5.661285327680172,0.15134429191839419
"BGD",1522871.4230896654,6974.343833886428
"BGR",3858690.499178686,66876.7344858352
"BHR",,
"BHS",256960.32301991867,787.6950560563266
"BIH",2477204.266426964,26485.254365004635
"BLM",484.3663076206131,1.0995358863844862
"BLR",8384058.038157153,375763.9056937413
"BLZ",1710654.1976715224,12796.757935080612
"BMU",436.85029263097624,38.179885631011054
"BOL",57489599.54628596,173608.72796756908
"BRA",475688332.43703747,7586758.106451292
"BRB",4618.7516190779315,196.12760189012485
"BRN",523735.8937587909,8772.356743971295
"BTN",2366473.2243500575,2158.6168402338517
"BWA",1277.8160162323097,90.98270207801131
"CAF",30767843.080407627,39343.68619132276
"CAN",324180955.2071396,9107211.972424816
"CHE",1445309.307907624,10252.190594486361
"CHL",17815814.522108607,1460994.2191141446
"CHN",131375325.39385867,2239054.8189512375
"CIV",6357504.716887265,229767.6240820984
"CMR",25260678.097547095,65054.31629704201
"COD",164388383.31654447,1392760.6184995952
"COG",23943299.052408304,46653.70497710383
"COL",78314736.96434602,552792.4670425107
"COM",105958.72261013922,429.4524111485777
"CPV",3744.1706635505893,2034.3496596833968
"CRI",3684714.4047037764,38151.50755192296
"CUB",3617393.6375248716,227169.9502164647
"CUW",1939.9996275226395,29.26991667742266
"CYM",12395.011418709139,43.30453770882418
"CYP",53668.97462911025,117.06247377900604
"CZE",2879777.099107216,133652.11044280743
"DEU",11707136.363998055,257992.13508004328
"DJI",0.07522455290689677,
"DMA",70127.0696202157,13.064291361947152
"DNK",561142.9467907066,32205.693095838877
"DOM",2236241.619628949,39306.59176137834
"DZA",895575.9298442185,32539.46770985374
"ECU",17913830.45785442,101642.0371090743
"EGY",14627.846720173351,4973.126694305376
"ERI",2.3806596762483427,5.790908163703767
"ESH",,
"ESP",8099431.145939323,448303.3460133147
"EST",2465465.1470707026,89430.7600753432
"ETH",5425719.9761597365,62534.12767243239
"FIN",18308143.829813216,1084547.7096366673
"FJI",1395341.9000470513,11437.675009533266
"FLK",1065.761309219683,19.69203687134754
"FRA",15270417.053243907,506160.31162210426
"FSM",6016.970442590488,359.3105042971615
"GAB",24158394.431406464,39057.630866566535
"GBR",2962329.2070857394,211148.28816223057
"GEO",2956338.1653401116,4788.482229460384
"GGY",1154.7150652274004,18.792454869380713
"GHA",4253662.926800827,134527.30106916113
"GIB",99.81549406529176,0.24973697174911777
"GIN",2155937.6913875565,29669.21623315195
"GLP",90174.98225631144,1211.9312461484278
"GMB",37.16494195854504,23.974526988193073
"GNB",314210.47903311194,6533.672416223717
"GNQ",2633384.1396825314,5559.2876058051115
"GRC",2960493.557411452,35612.58381120413
"GRD",27654.02678664244,72.60104502344684
"GRL",,
"GTM",6951962.018861208,109465.89550225118
"GUF",8153381.31791099,4154.629431680649
"GUY",18900466.49841199,11390.102095833126
"HKG",52269.526986409415,263.33248976539244
"HND",6696597.75095614,58290.985938190846
"HRV",2228569.597872586,26469.805452570225
"HTI",657383.1532573415,4807.189211700765
"HUN",1797831.4298298464,135108.16414376535
"IDN",155063352.17835957,6963008.8289920455
"IMN",10278.685719702657,291.22744946763925
"IND",30465293.02599763,255070.69918410204
"IRL",638979.2828066109,123819.07417816183
"IRN",1545482.9861069438,1136.1082334276455
"IRQ",6658.027202876906,292.2949756661382
"ISR",18035.268892659144,1895.9259852408159
"ITA",8382318.065651244,89811.8106023742
"JAM",729817.3382583663,6772.477382592767
"JEY",1236.7570985127272,27.447849217125174
"JOR",1530.7543120744313,8.379229046450256
"JPN",25597513.893000335,257181.7868386163
"KAZ",3155280.5574270617,23877.928454733574
"KEN",1891471.7392801302,100344.45011908324
"KGZ",430352.44935798936,464.17149039843406
"KHM",7482327.55059371,109561.50234795158
"KIR",,
"KNA",12369.330787643583,102.00872914668088
"KOR",4518887.048095524,27177.168881796028
"KWT",,0.13416696830945418
"LAO",18125586.885545753,338035.86591926176
"LBN",44020.18184459409,1766.5599457619842
"LBR",9055166.518431481,108379.18717985917
"LBY",1803.0331128544317,410.8519377785188
"LCA",49236.10366857587,36.475202087351875
"LIE",8196.650834302895,31.555533177334997
"LKA",3546042.611531806,26437.888896164855
"LSO",522.0517598423705,164.408040639178
"LTU",2178846.6141448505,122598.82408187995
"LUX",96722.32668599371,2716.023969526449
"LVA",3321041.1643000995,185695.88299928274
"MAC",341.7178795717025,2.713199053816806
"MAF",1680.8624754035968,35.07448467325541
"MAR",436049.3600585958,19541.653906392177
"MCO",0.055947243444007234,
"MDA",315736.473980643,6288.929406759131
"MDG",12241379.68751453,405045.9607389985
"MDV",4494.586821456371,5.810987532017674
"MEX",42125965.6401677,633316.3411067686
"MKD",696106.7233395447,10436.794809525305
"MLI",390.3070409891352,5.022677800469326
"MLT",85.0451034242399,14.955583098923189
"MMR",39793697.106976815,314919.38757858105
"MNE",550241.9345172748,7006.4564710138675
"MNG",1863043.1142910032,10244.597630349395
"MOZ",10493859.760920191,144622.20109626875
"MRT",16.143628799789667,0.4449462544427915
"MSR",4290.256122447525,8.039445504755228
"MTQ",70991.9875240337,547.1346536768419
"MUS",50858.43841501423,3010.180856085419
"MWI",313124.7780309268,10299.159470517652
"MYS",28977160.056494314,2580881.1625757674
"MYT",30547.30229245309,37.08241512243668
"NAM",570.7885526923284,44.19691567108485
"NCL",1051340.957175092,5724.326835960417
"NER",0.4506858132730864,0.07479490026909298
"NFK",,
"NGA",4725124.473549667,60328.0843495702
"NIC",7067162.508493538,66163.20360109764
"NLD",473966.9750719781,7014.110369301941
"NOR",9807526.735076368,173269.41636419186
"NPL",4308185.392627351,13404.285236888947
"NRU",,
"NZL",10796209.505894488,710269.8409143576
"OMN",0.2905499830338376,0.28109951796981913
"PAK",666940.1831351729,850.303194320903
"PAN",5454716.783450775,32305.757655622467
"PER",76831886.62012416,191003.382854036
"PHL",17415156.62059672,272675.45089722064
"PLW",40143.076735936826,256.0599186944279
"PNG",41976751.98590375,230681.04726416164
"POL",9529733.954471951,503713.708508856
"PRI",491958.9694230374,6411.836375296872
"PRK",4093698.296115075,13683.022969900498
"PRT",1589978.199760462,286549.00367533707
"PRY",13995686.27227115,51023.69207269422
"PSE",272.8245262340426,144.80430947709465
"QAT",,
"REU",131489.04083651624,3064.360868253846
"ROU",7383118.17579639,153641.9809804953
"RUS",601267933.8261852,16229638.818362804
"RWA",204387.5180294765,7080.511616066563
"SAU",6.734543924557078,
"SDN",1170.9776755574294,9.007019961941543
"SEN",2065.2611706241782,211.08031607310727
"SGP",16768.869626308624,1256.7885616808344
"SJM",,
"SLB",2731814.2938769576,20319.9794126901
"SLE",3589286.482606019,45131.99088993347
"SLV",801728.8074719432,8598.666206779071
"SMR",595.886076347046,20.07156787294217
"SOM",15648.49913893468,280.0781835122486
"SPM",4145.851515660932,0.10614095436631342
"SRB",2504393.2339037815,35620.57924363746
"SSD",4111869.1625328073,3834.7233782721423
"STP",13222.740447602118,14.539827389884985
"SUR",13913266.762998842,7026.800183508627
"SVK",2298452.5883321147,52307.598766926734
"SVN",1247110.869637392,3499.4863138605474
"SWE",24023217.87229723,1529417.7565224674
"SWZ",199649.64175146894,61047.81845206138
"SXM",913.4842877719148,6.005599914695843
"SYC",2881.536063922974,
"SYR",82137.82918343165,1575.1417728286733
"TCA",8652.919365777796,15.093484016528908
"TCD",7270.004352674481,75.76492180301386
"TGO",127367.55303941903,2360.9262337240857
"THA",17966879.290629283,499182.6756029344
"TJK",19343.41684927272,143.05385158149355
"TKM",5850.532227038961,278.8771617885905
"TLS",616897.7670898128,6124.692774546134
"TTO",383107.93022977846,1600.5384910962998
"TUN",178455.2886545721,11495.95711882816
"TUR",8214009.526043745,178368.39359689486
"TUV",,
"TWN",2249939.7509051114,6129.042425288221
"TZA",9700637.443805164,304169.104426218
"UGA",3270233.1619913634,68426.17289208858
"UKR",9691026.364986636,353249.14654603327
"UMI",122.28830155078103,1.60809623923819
"URY",1387982.9323561203,498518.9297880969
"USA",244567020.39219835,13807331.914093098
"UZB",51377.91641270093,521.3084096657445
"VAT",3.456038088166034,
"VCT",27792.75112156343,20.093959162744927
"VEN",53746318.89794447,191091.96926174918
"VGB",6855.8742204327145,12.644083495736064
"VIR",17846.00533918922,399.1690212959566
"VNM",14759929.955974042,563928.2591192399
"VUT",1161473.771623622,1366.4225785982353
"XAD",335.82079768396545,3.3045054920050205
"XCA",92179.92051786826,31.525974928926672
"XCL",,
"XKO",334618.1822505486,5636.950586861619
"XNC",7631.233597431657,81.51879802024095
"XPI",,
"XSP",,
"YEM",9.800505156448086,4.267837688957569
"ZAF",3163002.167825101,830675.5847623628
"ZMB",9185039.509189475,18075.84738007375
"ZWE",293242.35335571296,48567.54911359141
