Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2017,I,Phragmipedium spp.,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,1,,live,,G,D
2017,I,Phragmipedium boissierianum,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,1,,live,,G,D
2017,I,Phragmipedium caudatum,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,3,,live,,G,D
2017,I,Phragmipedium hirtzii,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,1,,live,,G,D
2017,I,Phragmipedium lindenii,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,1,,live,,G,D
2017,I,Phragmipedium schlimii,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,1,,live,,G,D
2017,I,Encephalartos spp.,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,20,live,,G,A
2017,I,Encephalartos aemulans,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,21,live,,G,A
2017,I,Encephalartos altensteinii,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,10,live,,G,A
2017,I,Encephalartos aplanatus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,15,live,,G,A
2017,I,Encephalartos arenarius,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos barteri,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,10,live,,G,A
2017,I,Encephalartos bubalinus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,11,live,,G,A
2017,I,Encephalartos caffer,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,21,live,,G,A
2017,I,Encephalartos cerinus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,20,live,,G,A
2017,I,Encephalartos concinnus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,20,live,,G,A
2017,I,Encephalartos cupidus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,21,live,,G,A
2017,I,Encephalartos cycadifolius,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,25,live,,G,A
2017,I,Encephalartos dolomiticus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,17,live,,G,A
2017,I,Encephalartos dyerianus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,20,live,,G,A
2017,I,Encephalartos equatorialis,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,2,live,,G,A
2017,I,Encephalartos eugene-maraisii,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,20,live,,G,A
2017,I,Encephalartos ferox,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos ghellinckii,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,10,live,,G,A
2017,I,Encephalartos gratus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,10,live,,G,A
2017,I,Encephalartos heenanii,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,15,live,,G,A
2017,I,Encephalartos hildebrandtii,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,20,live,,G,A
2017,I,Encephalartos hirsutus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,2,live,,G,A
2017,I,Encephalartos horridus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos humilis,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,8,live,,G,A
2017,I,Encephalartos inopinus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,21,live,,G,A
2017,I,Encephalartos ituriensis,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,5,live,,G,A
2017,I,Encephalartos kisambo,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,9,live,,G,A
2017,I,Encephalartos laevifolius,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos lanatus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,21,live,,G,A
2017,I,Encephalartos latifrons,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,5,live,,G,A
2017,I,Encephalartos lebomboensis,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos lehmannii,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos longifolius,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos manikensis,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,17,live,,G,A
2017,I,Encephalartos middelburgensis,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos msinganus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,14,live,,G,A
2017,I,Encephalartos munchii,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,5,live,,G,A
2017,I,Encephalartos natalensis,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos ngoyanus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,20,live,,G,A
2017,I,Encephalartos nubimontanus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos paucidentatus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,15,live,,G,A
2017,I,Encephalartos princeps,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,21,live,,G,A
2017,I,Encephalartos pterogonus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,7,live,,G,A
2017,I,Encephalartos sclavoi,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,3,live,,G,A
2017,I,Encephalartos senticosus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,20,live,,G,A
2017,I,Encephalartos tegulaneus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,7,live,,G,A
2017,I,Encephalartos transvenosus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,20,live,,G,A
2017,I,Encephalartos trispinosus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,22,live,,G,A
2017,I,Encephalartos turneri,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,13,live,,G,A
2017,I,Encephalartos umbeluziensis,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,10,live,,G,A
2017,I,Encephalartos villosus,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,19,live,,G,A
2017,I,Encephalartos whitelockii,,Cycadales,Zamiaceae,Encephalartos,CN,ZA,,,2,live,,G,A
2017,II,Pachypodium densiflorum,,Gentianales,Apocynaceae,Pachypodium,CZ,MG,,2,,live,,G,A
2017,II,Macaca mulatta,Mammalia,Primates,Cercopithecidae,Macaca,KZ,RU,,1,,live,,G,C
2017,II,Cycas revoluta,,Cycadales,Cycadaceae,Cycas,VN,ES,JP,3,,live,,G,A
2017,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,KZ,RU,,1,,live,,G,C
2017,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,KZ,RU,,1,,live,,G,C
2017,II,Aloe arborescens,,Liliales,Liliaceae,Aloe,CN,ZA,,,20,live,,G,A
2017,II,Aloe castanea,,Liliales,Liliaceae,Aloe,CN,ZA,,,20,live,,G,A
2017,II,Aloe marlothii,,Liliales,Liliaceae,Aloe,CN,ZA,,,20,live,,G,A
2017,II,Aloe striata,,Liliales,Liliaceae,Aloe,CN,ZA,,,20,live,,G,A
2017,II,Aloe suprafoliata,,Liliales,Liliaceae,Aloe,CN,ZA,,,20,live,,G,A
2017,II,Aloe tenuior,,Liliales,Liliaceae,Aloe,CN,ZA,,,20,live,,G,A
2017,II,Acianthera oscitans,,Orchidales,Orchidaceae,Acianthera,CZ,EC,,1,,live,,G,A
2017,II,Acianthera saurocephala,,Orchidales,Orchidaceae,Acianthera,CZ,EC,,1,,live,,G,A
2017,II,Acineta erythroxantha,,Orchidales,Orchidaceae,Acineta,CZ,EC,,1,,live,,G,A
2017,II,Aerangis stylosa,,Orchidales,Orchidaceae,Aerangis,CZ,MG,,2,,live,,G,A
2017,II,Aeranthes filipes,,Orchidales,Orchidaceae,Aeranthes,CZ,MG,,2,,live,,G,A
2017,II,Andinia ciliaris,,Orchidales,Orchidaceae,Andinia,CZ,EC,,1,,live,,G,A
2017,II,Andinia dalstroemii,,Orchidales,Orchidaceae,Andinia,CZ,EC,,1,,live,,G,A
2017,II,Andinia dielsii,,Orchidales,Orchidaceae,Andinia,CZ,EC,,2,,live,,G,A
2017,II,Andinia erepsis,,Orchidales,Orchidaceae,Andinia,CZ,EC,,4,,live,,G,A
2017,II,Andinia hirtzii,,Orchidales,Orchidaceae,Andinia,CZ,EC,,4,,live,,G,A
2017,II,Andinia lappacea,,Orchidales,Orchidaceae,Andinia,CZ,EC,,4,,live,,G,A
2017,II,Andinia micropetala,,Orchidales,Orchidaceae,Andinia,CZ,EC,,1,,live,,G,A
2017,II,Andinia pensilis,,Orchidales,Orchidaceae,Andinia,CZ,EC,,1,,live,,G,A
2017,II,Andinia pogonion,,Orchidales,Orchidaceae,Andinia,CZ,EC,,2,,live,,G,A
2017,II,Andinia schizopogon,,Orchidales,Orchidaceae,Andinia,CZ,EC,,2,,live,,G,A
2017,II,Andinia spiralis,,Orchidales,Orchidaceae,Andinia,CZ,EC,,2,,live,,G,A
2017,II,Andinia stalactites,,Orchidales,Orchidaceae,Andinia,CZ,EC,,2,,live,,G,A
2017,II,Andinia vestigipetala,,Orchidales,Orchidaceae,Andinia,CZ,EC,,1,,live,,G,A
2017,II,Angraecum protensum,,Orchidales,Orchidaceae,Angraecum,CZ,MG,,2,,live,,G,A
2017,II,Anneliesia candida,,Orchidales,Orchidaceae,Anneliesia,CZ,EC,,1,,live,,G,A
2017,II,Arundina graminifolia,,Orchidales,Orchidaceae,Arundina,SG,MY,,,1500,live,,G,A
2017,II,Aspidogyne bruxelii,,Orchidales,Orchidaceae,Aspidogyne,CZ,EC,,2,,live,,G,A
2017,II,Batemannia colleyi,,Orchidales,Orchidaceae,Batemannia,CZ,EC,,1,,live,,G,A
2017,II,Brachionidium elegans,,Orchidales,Orchidaceae,Brachionidium,CZ,EC,,4,,live,,G,A
2017,II,Brachionidium kuhniarum,,Orchidales,Orchidaceae,Brachionidium,CZ,EC,,4,,live,,G,A
2017,II,Brachionidium uxorium,,Orchidales,Orchidaceae,Brachionidium,CZ,EC,,4,,live,,G,A
2017,II,Brassia arcuigera,,Orchidales,Orchidaceae,Brassia,CZ,EC,,1,,live,,G,A
2017,II,Brassia aurantiaca,,Orchidales,Orchidaceae,Brassia,CZ,EC,,1,,live,,G,A
2017,II,Bulbophyllum baronii,,Orchidales,Orchidaceae,Bulbophyllum,CZ,MG,,10,,live,,G,A
2017,II,Bulbophyllum beccarii,,Orchidales,Orchidaceae,Bulbophyllum,JP,MY,,,10,cultures,,G,A
2017,II,Bulbophyllum blumei,,Orchidales,Orchidaceae,Bulbophyllum,JP,MY,,,10,cultures,,G,A
2017,II,Bulbophyllum hybrid,,Orchidales,Orchidaceae,Bulbophyllum,JP,MY,,,200,cultures,,G,A
2017,II,Bulbophyllum nitens,,Orchidales,Orchidaceae,Bulbophyllum,CZ,MG,,10,,live,,G,A
2017,II,Bulbophyllum pahudii,,Orchidales,Orchidaceae,Bulbophyllum,JP,MY,,,5,cultures,,G,A
2017,II,Calanthe sylvatica,,Orchidales,Orchidaceae,Calanthe,CZ,MG,,2,,live,,G,A
2017,II,Campylocentrum fasciola,,Orchidales,Orchidaceae,Campylocentrum,CZ,EC,,1,,live,,G,A
2017,II,Cattleya araguaiensis,,Orchidales,Orchidaceae,Cattleya,CZ,EC,,1,,live,,G,A
2017,II,Cattleya candida,,Orchidales,Orchidaceae,Cattleya,CZ,EC,,1,,live,,G,A
2017,II,Cattleya iricolor,,Orchidales,Orchidaceae,Cattleya,CZ,EC,,1,,live,,G,A
2017,II,Cattleya milleri,,Orchidales,Orchidaceae,Cattleya,CZ,EC,,1,,live,,G,A
2017,II,Cattleya mooreana,,Orchidales,Orchidaceae,Cattleya,CZ,EC,,1,,live,,G,A
2017,II,Caucaea nubigena,,Orchidales,Orchidaceae,Caucaea,CZ,EC,,1,,live,,G,A
2017,II,Coelogyne hybrid,,Orchidales,Orchidaceae,Coelogyne,JP,MY,,,50,cultures,,G,A
2017,II,Cranichis diphylla,,Orchidales,Orchidaceae,Cranichis,CZ,EC,,1,,live,,G,A
2017,II,Cranichis muscosa,,Orchidales,Orchidaceae,Cranichis,CZ,EC,,1,,live,,G,A
2017,II,Cranichis picta,,Orchidales,Orchidaceae,Cranichis,CZ,EC,,1,,live,,G,A
2017,II,Cranichis turkeliae,,Orchidales,Orchidaceae,Cranichis,CZ,EC,,1,,live,,G,A
2017,II,Cycnoches peruvianum,,Orchidales,Orchidaceae,Cycnoches,CZ,EC,,1,,live,,G,A
2017,II,Cymbidiella falcigera,,Orchidales,Orchidaceae,Cymbidiella,CZ,MG,,2,,live,,G,A
2017,II,Cymbidiella pardalina,,Orchidales,Orchidaceae,Cymbidiella,CZ,MG,,2,,live,,G,A
2017,II,Cynorkis villosa,,Orchidales,Orchidaceae,Cynorkis,CZ,MG,,2,,live,,G,A
2017,II,Cyrtochilum macranthum,,Orchidales,Orchidaceae,Cyrtochilum,CZ,EC,,3,,live,,G,A
2017,II,Dendrobium spp.,,Orchidales,Orchidaceae,Dendrobium,SG,MY,,,7800,live,,G,A
2017,II,Dendrobium aloifolium,,Orchidales,Orchidaceae,Dendrobium,JP,MY,,,5,cultures,,G,A
2017,II,Dendrobium hybrid,,Orchidales,Orchidaceae,Dendrobium,JP,MY,,,100,cultures,,G,A
2017,II,Dendrobium hybrid,,Orchidales,Orchidaceae,Dendrobium,SG,MY,,,118920,live,,G,A
2017,II,Dendrobium lasianthera,,Orchidales,Orchidaceae,Dendrobium,JP,MY,,,5,cultures,,G,A
2017,II,Dimerandra emarginata,,Orchidales,Orchidaceae,Dimerandra,CZ,EC,,1,,live,,G,A
2017,II,Disa incarnata,,Orchidales,Orchidaceae,Disa,CZ,MG,,2,,live,,G,A
2017,II,Disperis similis,,Orchidales,Orchidaceae,Disperis,CZ,MG,,2,,live,,G,A
2017,II,Dracula spp.,,Orchidales,Orchidaceae,Dracula,CZ,EC,,1,,live,,G,A
2017,II,Dracula andreettae,,Orchidales,Orchidaceae,Dracula,CZ,EC,,2,,live,,G,A
2017,II,Dracula simia,,Orchidales,Orchidaceae,Dracula,CZ,EC,,1,,live,,G,A
2017,II,Dracula sodiroi,,Orchidales,Orchidaceae,Dracula,CZ,EC,,1,,live,,G,A
2017,II,Dresslerella hirsutissima,,Orchidales,Orchidaceae,Dresslerella,CZ,EC,,3,,live,,G,A
2017,II,Echinosepala shuarii,,Orchidales,Orchidaceae,Echinosepala,CZ,EC,,3,,live,,G,A
2017,II,Echinosepala uncinata,,Orchidales,Orchidaceae,Echinosepala,CZ,EC,,1,,live,,G,A
2017,II,Epidendrum escobarianum,,Orchidales,Orchidaceae,Epidendrum,CZ,EC,,1,,live,,G,A
2017,II,Epidendrum suavis,,Orchidales,Orchidaceae,Epidendrum,CZ,EC,,1,,live,,G,A
2017,II,Erasanthe henrici,,Orchidales,Orchidaceae,Erasanthe,CZ,MG,,2,,live,,G,A
2017,II,Erycina glossomystax,,Orchidales,Orchidaceae,Erycina,CZ,EC,,1,,live,,G,A
2017,II,Eulophia grandidieri,,Orchidales,Orchidaceae,Eulophia,CZ,MG,,2,,live,,G,A
2017,II,Eulophiella roempleriana,,Orchidales,Orchidaceae,Eulophiella,CZ,MG,,2,,live,,G,A
2017,II,Eurystyles cotyledon,,Orchidales,Orchidaceae,Eurystyles,CZ,EC,,2,,live,,G,A
2017,II,Fernandezia ionanthera,,Orchidales,Orchidaceae,Fernandezia,CZ,EC,,1,,live,,G,A
2017,II,Fernandezia maculata,,Orchidales,Orchidaceae,Fernandezia,CZ,EC,,1,,live,,G,A
2017,II,Fernandezia subbiflora,,Orchidales,Orchidaceae,Fernandezia,CZ,EC,,1,,live,,G,A
2017,II,Frondaria caulescens,,Orchidales,Orchidaceae,Frondaria,CZ,EC,,1,,live,,G,A
2017,II,Galeottia acuminata,,Orchidales,Orchidaceae,Galeottia,CZ,EC,,1,,live,,G,A
2017,II,Galeottia fimbriata,,Orchidales,Orchidaceae,Galeottia,CZ,EC,,1,,live,,G,A
2017,II,Graphorkis medemiae,,Orchidales,Orchidaceae,Graphorkis,CZ,MG,,2,,live,,G,A
2017,II,Huntleya burtii,,Orchidales,Orchidaceae,Huntleya,CZ,EC,,1,,live,,G,A
2017,II,Jumellea major,,Orchidales,Orchidaceae,Jumellea,CZ,MG,,2,,live,,G,A
2017,II,Kefersteinia ocellata,,Orchidales,Orchidaceae,Kefersteinia,CZ,EC,,1,,live,,G,A
2017,II,Koellensteinia graminea,,Orchidales,Orchidaceae,Koellensteinia,CZ,EC,,1,,live,,G,A
2017,II,Kuhlhasseltia javanica,,Orchidales,Orchidaceae,Kuhlhasseltia,CZ,EC,,1,,live,,G,A
2017,II,Laelia sanguiloba,,Orchidales,Orchidaceae,Laelia,CZ,EC,,1,,live,,G,A
2017,II,Lankesterella orthantha,,Orchidales,Orchidaceae,Lankesterella,CZ,EC,,2,,live,,G,A
2017,II,Lemurorchis madagascariensis,,Orchidales,Orchidaceae,Lemurorchis,CZ,MG,,2,,live,,G,A
2017,II,Lepanthes spp.,,Orchidales,Orchidaceae,Lepanthes,CZ,EC,,5,,live,,G,A
2017,II,Lepanthes aculeata,,Orchidales,Orchidaceae,Lepanthes,CZ,EC,,1,,live,,G,A
2017,II,Lepanthes elongata,,Orchidales,Orchidaceae,Lepanthes,CZ,EC,,1,,live,,G,A
2017,II,Lepanthes grandiflora,,Orchidales,Orchidaceae,Lepanthes,CZ,EC,,1,,live,,G,A
2017,II,Lepanthes lucifer,,Orchidales,Orchidaceae,Lepanthes,CZ,EC,,1,,live,,G,A
2017,II,Lepanthes zamorensis,,Orchidales,Orchidaceae,Lepanthes,CZ,EC,,1,,live,,G,A
2017,II,Lepanthopsis acetabulum,,Orchidales,Orchidaceae,Lepanthopsis,CZ,EC,,4,,live,,G,A
2017,II,Lepanthopsis acuminata,,Orchidales,Orchidaceae,Lepanthopsis,CZ,EC,,1,,live,,G,A
2017,II,Lepanthopsis ubangii,,Orchidales,Orchidaceae,Lepanthopsis,CZ,EC,,1,,live,,G,A
